source_path,repo_root,file_type,priority_bucket,matched_terms,selection_reason,size_bytes,mtime_utc
/home/wilson/CEP_COMPRA/.venv/lib/python3.13/site-packages/pip/_internal/distributions/base.py,/home/wilson/CEP_COMPRA,py,others,cep,matched_search_terms,1830,2026-02-13 17:16:42.578069687+00:00
/home/wilson/CEP_COMPRA/.venv/lib/python3.13/site-packages/pip/_internal/distributions/installed.py,/home/wilson/CEP_COMPRA,py,others,cep,matched_search_terms,929,2026-02-13 17:16:42.578107834+00:00
/home/wilson/CEP_COMPRA/.venv/lib/python3.13/site-packages/pip/_internal/distributions/sdist.py,/home/wilson/CEP_COMPRA,py,others,cep,matched_search_terms,6627,2026-02-13 17:16:42.578156710+00:00
/home/wilson/CEP_COMPRA/.venv/lib/python3.13/site-packages/pip/_internal/distributions/wheel.py,/home/wilson/CEP_COMPRA,py,others,cep,matched_search_terms,1364,2026-02-13 17:16:42.578197718+00:00
/home/wilson/CEP_COMPRA/.venv/lib/python3.13/site-packages/pip/_internal/exceptions.py,/home/wilson/CEP_COMPRA,py,others,cep,matched_search_terms,32165,2026-02-13 17:16:42.575768709+00:00
/home/wilson/CEP_COMPRA/.venv/lib/python3.13/site-packages/pip/_internal/index/__init__.py,/home/wilson/CEP_COMPRA,py,others,cep,matched_search_terms,29,2026-02-13 17:16:42.578247070+00:00
/home/wilson/CEP_COMPRA/.venv/lib/python3.13/site-packages/pip/_internal/index/collector.py,/home/wilson/CEP_COMPRA,py,others,cep,matched_search_terms,16144,2026-02-13 17:16:42.578331947+00:00
/home/wilson/CEP_COMPRA/.venv/lib/python3.13/site-packages/pip/_internal/index/package_finder.py,/home/wilson/CEP_COMPRA,py,others,cep,matched_search_terms,41776,2026-02-13 17:16:42.578476191+00:00
/home/wilson/CEP_COMPRA/.venv/lib/python3.13/site-packages/pip/_internal/index/sources.py,/home/wilson/CEP_COMPRA,py,others,cep,matched_search_terms,8639,2026-02-13 17:16:42.578545332+00:00
/home/wilson/CEP_COMPRA/.venv/lib/python3.13/site-packages/pip/_internal/locations/__init__.py,/home/wilson/CEP_COMPRA,py,others,cep,matched_search_terms,14157,2026-02-13 17:16:42.578643084+00:00
/home/wilson/CEP_COMPRA/.venv/lib/python3.13/site-packages/pip/_internal/locations/_distutils.py,/home/wilson/CEP_COMPRA,py,others,cep,matched_search_terms,5975,2026-02-13 17:16:42.578711033+00:00
/home/wilson/CEP_COMPRA/.venv/lib/python3.13/site-packages/pip/_internal/locations/_sysconfig.py,/home/wilson/CEP_COMPRA,py,others,cep,matched_search_terms,7779,2026-02-13 17:16:42.578776360+00:00
/home/wilson/CEP_COMPRA/.venv/lib/python3.13/site-packages/pip/_internal/locations/base.py,/home/wilson/CEP_COMPRA,py,others,cep,matched_search_terms,2550,2026-02-13 17:16:42.578825235+00:00
/home/wilson/CEP_COMPRA/.venv/lib/python3.13/site-packages/pip/_internal/main.py,/home/wilson/CEP_COMPRA,py,others,cep,matched_search_terms,338,2026-02-13 17:16:42.575819016+00:00
/home/wilson/CEP_COMPRA/.venv/lib/python3.13/site-packages/pip/_internal/metadata/__init__.py,/home/wilson/CEP_COMPRA,py,others,cep,matched_search_terms,5824,2026-02-13 17:16:42.578892231+00:00
/home/wilson/CEP_COMPRA/.venv/lib/python3.13/site-packages/pip/_internal/metadata/_json.py,/home/wilson/CEP_COMPRA,py,others,cep,matched_search_terms,2711,2026-02-13 17:16:42.578940153+00:00
/home/wilson/CEP_COMPRA/.venv/lib/python3.13/site-packages/pip/_internal/metadata/base.py,/home/wilson/CEP_COMPRA,py,others,cep,matched_search_terms,25420,2026-02-13 17:16:42.579036236+00:00
